,index,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,metric,Significant,q_value,p_value
0,0,label,0.10505588905558669,1,42,0.10505588905558669,2.9613269133822318,0.09263814635381332,0.065863868277002,,0,False,0.17102427019165536,0.09263814635381332
1,1,time_labels,0.01920936350597311,1,42,0.01920936350597311,3.090501244141965,0.08603679644645967,0.06853996205117534,1.0,0,False,0.17102427019165536,0.08603679644645967
2,2,Interaction,0.0009412684853036257,1,42,0.0009412684853036257,0.15143611728717266,0.6991328021317413,0.0035926680378290977,,0,False,0.7990089167219901,0.6991328021317413
3,0,label,0.7938407835273414,1,42,0.7938407835273414,5.81964233403075,0.02029410202208822,0.12169982981845126,,1,False,0.09719587915237875,0.02029410202208822
4,1,time_labels,0.05761626432234908,1,42,0.05761626432234908,2.5834488133099405,0.1154790395782198,0.05794636534575759,1.0,1,False,0.18476646332515168,0.1154790395782198
5,2,Interaction,0.0024606320279429994,1,42,0.0024606320279429994,0.1103319864164806,0.7414185624366149,0.0026200692611986617,,1,False,0.8088202499308526,0.7414185624366149
6,0,label,0.3399079151219046,1,42,0.3399079151219046,3.6751207547969065,0.062049578138700004,0.08046220117351166,,2,False,0.1584945775913887,0.062049578138700004
7,1,time_labels,0.07128384683773852,1,42,0.07128384683773852,6.184099486729084,0.0169492913687251,0.12834315785920863,1.0,2,False,0.09719587915237875,0.0169492913687251
8,2,Interaction,0.0002869488629420047,1,42,0.0002869488629420047,0.02489372269816524,0.8753882968120199,0.000592356588988108,,2,False,0.8753882968120199,0.8753882968120199
9,0,label,0.11259011836365586,1,42,0.11259011836365586,5.460164433235996,0.024298969788094687,0.11504731385659263,,3,False,0.09719587915237875,0.024298969788094687
10,1,time_labels,0.016954349523690702,1,42,0.016954349523690702,2.8174074530079984,0.1006734821170818,0.06286413278059669,1.0,3,False,0.17258311220071165,0.1006734821170818
11,2,Interaction,0.01025676230190986,1,42,0.01025676230190986,1.7044286194969145,0.19881632184556264,0.03899899102528375,,3,False,0.28118789734504257,0.19881632184556264
12,0,label,0.14235840192856483,1,42,0.14235840192856483,3.471868683910344,0.06942309947036171,0.07635201245069617,,4,False,0.1584945775913887,0.06942309947036171
13,1,time_labels,0.014520400380474766,1,42,0.014520400380474766,1.7016562979955963,0.19917476061940514,0.03893802757479569,1.0,4,False,0.28118789734504257,0.19917476061940514
14,2,Interaction,0.004199165871110466,1,42,0.004199165871110466,0.4921033073242058,0.48685964354328093,0.011581053160985417,,4,False,0.6149806023704601,0.48685964354328093
15,0,label,0.24212957992243905,1,42,0.24212957992243905,4.772157999026361,0.03455614247188297,0.10202988707781456,,5,False,0.1184782027607416,0.03455614247188297
16,1,time_labels,0.05764275590970659,1,42,0.05764275590970659,10.094280795577143,0.0027882780811513373,0.1937694626246603,1.0,5,False,0.056454993646666785,0.0027882780811513373
17,2,Interaction,0.0031879011153290726,1,42,0.0031879011153290726,0.5582586831391666,0.4591254136995988,0.013117517032254396,,5,False,0.6121672182661317,0.4591254136995988
18,0,label,0.2781225184731585,1,42,0.2781225184731585,3.607797623933518,0.0643911966827997,0.07910484197641372,,6,False,0.1584945775913887,0.0643911966827997
19,1,time_labels,0.061673924679026756,1,42,0.061673924679026756,5.934856811901992,0.01916586184337634,0.12381088015325822,1.0,6,False,0.09719587915237875,0.01916586184337634
20,2,Interaction,0.0004044126369047163,1,42,0.0004044126369047163,0.03891646438011438,0.8445658588443494,0.0009257247249245492,,6,False,0.8753882968120199,0.8445658588443494
21,0,label,0.43288082964056485,1,42,0.43288082964056485,3.390494666949021,0.07264334806271983,0.07469613829561988,,7,False,0.1584945775913887,0.07264334806271983
22,1,time_labels,0.14706239361708448,1,42,0.14706239361708448,8.914099112620265,0.004704582803888899,0.17508115174349995,1.0,7,False,0.056454993646666785,0.004704582803888899
23,2,Interaction,0.004485882032409627,1,42,0.004485882032409627,0.2719090588756501,0.6047930075090668,0.0064323818093225795,,7,False,0.7257516090108802,0.6047930075090668
