Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
['Left Supplementary Motor area'],['lMotor'],18,-0.005690731,0.00355007,0.060064276,24,0.125,0,0.125,0,0,0,0,0,0.333333333,28,26,8,18,32,19,26,23,2,18_r,18,SupplementaryMotorarea'],0,0.098214286,0,0,0,0,0,0.345238095,29,9,23,35,21,29,27,1
['Right Supplementary Motor area'],['rMotor'],19,0.00824631,-0.00109321,0.060512864,14,0.071428571,0,0.071428571,0,0,0,0,0,0.357142857,32,26,10,18,32,19,26,23,1,19_r,19,SupplementaryMotorarea'],0,0.098214286,0,0,0,0,0,0.345238095,29,9,23,35,21,29,27,1
['Left Olfactory cortex'],['lOlfC'],20,-0.008264286,0.013864286,-0.012685714,2,0,0,0,0,0,0,0,0.5,0,37,26,13,18,32,19,26,4,15,20_r,20,Olfactorycortex'],0,0,0,0,0,0,0.625,0,29,15,23,35,21,29,3,17
['Right Olfactory cortex'],['rOlfC'],21,0.010124567,0.01466436,-0.012560554,4,0,0,0,0,0,0,0,0.75,0,37,26,13,18,32,19,26,3,15,21_r,21,Olfactorycortex'],0,0,0,0,0,0,0.625,0,29,15,23,35,21,29,3,17
"['Left Superior Frontal gyrus, Medial']",['lSFGm'],22,-0.005173797,0.047887032,0.029636364,34,0.5,0,0.5,0,0,0,0,0.088235294,0,6,26,1,18,32,19,26,19,15,22_r,22,"SuperiorFrontalgyrus,Medial']",0,0.483333333,0,0,0,0,0.044117647,0,29,1,23,35,21,29,21,17
"['Right Superior Frontal gyrus, Medial']",['rSFGm'],23,0.008750703,0.049528585,0.028926898,15,0.466666667,0,0.466666667,0,0,0,0,0,0,9,26,4,18,32,19,26,23,15,23_r,23,"SuperiorFrontalgyrus,Medial']",0,0.483333333,0,0,0,0,0.044117647,0,29,1,23,35,21,29,21,17
"['Left Superior Frontal gyrus, Medial Orbital']",['lSFGmo'],24,-0.005438108,0.052517385,-0.008856745,6,0.5,0,0.5,0,0,0,0,0,0,6,26,1,18,32,19,26,23,15,24_r,24,"SuperiorFrontalgyrus,MedialOrbital']",0,0.45,0,0,0,0,0,0,29,3,23,35,21,29,27,17
"['Right Superior Frontal gyrus, Medial Orbital']",['rSFGmo'],25,0.007834112,0.050406542,-0.008516355,5,0.4,0,0.4,0,0,0,0,0,0,11,26,5,18,32,19,26,23,15,25_r,25,"SuperiorFrontalgyrus,MedialOrbital']",0,0.45,0,0,0,0,0,0,29,3,23,35,21,29,27,17
['Left Gyrus Rectus'],['lRectus'],26,-0.005441315,0.035706573,-0.019568075,8,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,26_r,26,GyrusRectus'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Right Gyrus Rectus'],['rRectus'],27,0.008002685,0.034451007,-0.019436242,4,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,27_r,27,GyrusRectus'],0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
