Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
"[""Right Heschl's gyrus""]",['rHeschl'],79,0.045879518,-0.018144578,0.009044177,2,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,79_r,79,"Heschl'sgyrus""]",0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Left Superior Temporal gyrus'],['lSTG'],80,-0.05343554,-0.022009582,0.005840592,20,0,0,0,0,0,0,0.15,0,0,37,26,13,18,32,19,20,23,15,80_r,80,SuperiorTemporalgyrus'],0.018518519,0,0,0,0,0.149074074,0,0,27,15,23,35,21,21,27,17
['Right Superior Temporal gyrus'],['rSTG'],81,0.057832537,-0.023010506,0.005418656,27,0.037037037,0.037037037,0,0,0,0,0.148148148,0,0,36,25,13,18,32,19,21,23,15,81_r,81,SuperiorTemporalgyrus'],0.018518519,0,0,0,0,0.149074074,0,0,27,15,23,35,21,21,27,17
"['Left Temporal pole, Superior Temporal gyrus']",['lTPsup'],82,-0.040154086,0.013867704,-0.021436576,10,0,0,0,0,0,0,0,0.2,0,37,26,13,18,32,19,26,16,15,82_r,82,"Temporalpole,SuperiorTemporalgyrus']",0,0,0,0,0,0,0.1,0,29,15,23,35,21,29,19,17
"['Right Temporal pole, Superior Temporal gyrus']",['rTPsup'],83,0.04793722,0.013457399,-0.018189836,8,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,83_r,83,"Temporalpole,SuperiorTemporalgyrus']",0,0,0,0,0,0,0.1,0,29,15,23,35,21,29,19,17
['Left Middle temporal gyrus'],['lMTG'],84,-0.055868879,-0.034984217,-0.003584783,44,0.113636364,0.113636364,0,0,0,0,0.272727273,0,0,30,22,13,18,32,19,13,23,15,84_r,84,Middletemporalgyrus'],0.151412777,0,0,0,0.040540541,0.312039312,0,0,21,15,23,35,17,13,27,17
['Right Middle temporal gyrus'],['rMTG'],85,0.0571599,-0.038565661,-0.002775232,37,0.189189189,0.189189189,0,0,0,0.081081081,0.351351351,0,0,23,17,13,18,32,14,10,23,15,85_r,85,Middletemporalgyrus'],0.151412777,0,0,0,0.040540541,0.312039312,0,0,21,15,23,35,17,13,27,17
"['Left Temporal pole, Middle temporal gyrus']",['lTPmid'],86,-0.036744371,0.013300662,-0.035366887,7,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,86_r,86,"Temporalpole,Middletemporalgyrus']",0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
"['Right Temporal pole, Middle temporal gyrus']",['rTPmid'],87,0.044040438,0.013246841,-0.033518113,10,0,0,0,0,0,0,0,0,0,37,26,13,18,32,19,26,23,15,87_r,87,"Temporalpole,Middletemporalgyrus']",0,0,0,0,0,0,0,0,29,15,23,35,21,29,27,17
['Left Inferior Temporal gyrus'],['lITG'],88,-0.05003625,-0.029291875,-0.024519375,24,0.25,0.25,0,0,0,0,0,0,0,22,16,13,18,32,19,26,23,15,88_r,88,InferiorTemporalgyrus'],0.259615385,0,0,0,0.019230769,0,0,0,13,15,23,35,19,29,27,17
['Right Inferior Temporal gyrus'],['rITG'],89,0.053382064,-0.032138881,-0.023730672,26,0.269230769,0.269230769,0,0,0,0.038461538,0,0,0,21,15,13,18,32,17,26,23,15,89_r,89,InferiorTemporalgyrus'],0.259615385,0,0,0,0.019230769,0,0,0,13,15,23,35,19,29,27,17
