,Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
13,"['Right Inferior Frontal gyrus, Triangular']",['rIFGt'],13,0.050061367,0.028901906,0.012817294,19,0.0,0.0,0.0,0.0,0.105263158,0.0,0.263157895,0.421052632,0.0,37,26.0,13.0,18.0,27.0,19.0,15.0,7.0,15.0,13_r,13,"InferiorFrontalgyrus,Triangular']",0.0,0.0,0.023809524,0.3859649125,0.0,0.3696741855,0.23433584,0.0,29.0,15.0,21.0,5.0,21.0,7.0,15.0,17.0
14,"['Left Inferior Frontal gyrus, Orbital']",['lIFGo'],14,-0.036240237,0.029492308,-0.013459172,12,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,37,26.0,13.0,18.0,17.0,19.0,16.0,4.0,15.0,14_r,14,"InferiorFrontalgyrus,Orbital']",0.0,0.0,0.0,0.125,0.0,0.2083333335,0.4166666665,0.0,29.0,15.0,23.0,29.0,21.0,17.0,7.0,17.0
15,"['Right Inferior Frontal gyrus, Orbital']",['rIFGo'],15,0.040910369,0.030994728,-0.013258348,12,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.333333333,0.0,37,26.0,13.0,18.0,32.0,19.0,18.0,12.0,15.0,15_r,15,"InferiorFrontalgyrus,Orbital']",0.0,0.0,0.0,0.125,0.0,0.2083333335,0.4166666665,0.0,29.0,15.0,23.0,29.0,21.0,17.0,7.0,17.0
16,['Left Rolandic operculum'],['lRO'],16,-0.047406061,-0.009775758,0.012638384,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,37,26.0,13.0,18.0,32.0,19.0,26.0,23.0,7.0,16_r,16,Rolandicoperculum'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1454545455,29.0,15.0,23.0,35.0,21.0,29.0,27.0,9.0
17,['Right Rolandic operculum'],['rRO'],17,0.052381668,-0.00753719,0.013329827,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909091,37,26.0,13.0,18.0,32.0,19.0,26.0,23.0,12.0,17_r,17,Rolandicoperculum'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1454545455,29.0,15.0,23.0,35.0,21.0,29.0,27.0,9.0
18,['Left Supplementary Motor area'],['lMotor'],18,-0.005690731,0.00355007,0.060064276,24,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.333333333,28,26.0,8.0,18.0,32.0,19.0,26.0,23.0,2.0,18_r,18,SupplementaryMotorarea'],0.0,0.0982142855,0.0,0.0,0.0,0.0,0.0,0.345238095,29.0,9.0,23.0,35.0,21.0,29.0,27.0,1.0
19,['Right Supplementary Motor area'],['rMotor'],19,0.00824631,-0.00109321,0.060512864,14,0.071428571,0.0,0.071428571,0.0,0.0,0.0,0.0,0.0,0.357142857,32,26.0,10.0,18.0,32.0,19.0,26.0,23.0,1.0,19_r,19,SupplementaryMotorarea'],0.0,0.0982142855,0.0,0.0,0.0,0.0,0.0,0.345238095,29.0,9.0,23.0,35.0,21.0,29.0,27.0,1.0
20,['Left Olfactory cortex'],['lOlfC'],20,-0.008264286,0.013864286,-0.012685714,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,4.0,15.0,20_r,20,Olfactorycortex'],0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,29.0,15.0,23.0,35.0,21.0,29.0,3.0,17.0
21,['Right Olfactory cortex'],['rOlfC'],21,0.010124567,0.01466436,-0.012560554,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,3.0,15.0,21_r,21,Olfactorycortex'],0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,29.0,15.0,23.0,35.0,21.0,29.0,3.0,17.0
22,"['Left Superior Frontal gyrus, Medial']",['lSFGm'],22,-0.005173797,0.047887032,0.029636364,34,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.088235294,0.0,6,26.0,1.0,18.0,32.0,19.0,26.0,19.0,15.0,22_r,22,"SuperiorFrontalgyrus,Medial']",0.0,0.48333333349999996,0.0,0.0,0.0,0.0,0.044117647,0.0,29.0,1.0,23.0,35.0,21.0,29.0,21.0,17.0
