,index,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,metric,Significant,q_value,p_value
0,0,label,314.8895693779899,1,42,314.8895693779899,5.636488597089092,0.022237446982776552,0.11832292352114128,,0,False,0.06671234094832966,0.022237446982776552
1,1,time_labels,0.0,1,42,0.0,0.0,1.0,0.0,1.0,0,False,1.0,1.0
2,2,Interaction,0.0,1,42,0.0,0.0,1.0,0.0,,0,False,1.0,1.0
