,index,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,metric,Significant,q_value,p_value
0,0,label,39.80114365736942,1,39,39.80114365736942,1.243976509828592,0.271531704612198,0.030910874563421474,,0,False,,0.271531704612198
1,1,time_labels,0.0,1,39,0.0,,,,1.0,0,False,,
2,2,Interaction,4.547473508864641e-13,1,39,4.547473508864641e-13,inf,0.0,1.0,,0,True,,0.0
