,index,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,metric,Significant,q_value,p_value
0,0,label,0.027517547293206705,1,88,0.027517547293206705,0.9967123854930088,0.32084465916588,0.011199429268529687,,0,False,0.6218283122379975,0.32084465916588
1,1,time_labels,0.012588834348266072,1,88,0.012588834348266072,1.4404021933694624,0.23329526155042377,0.01610460326704842,1.0,0,False,0.5759334863370106,0.23329526155042377
2,2,Interaction,0.00037023750759601626,1,88,0.00037023750759601626,0.042362215853797285,0.837406268796248,0.00048115719282880757,,0,False,0.9135341114140888,0.837406268796248
3,0,label,0.17119595461650555,1,88,0.17119595461650555,1.501342020551627,0.22373438620904873,0.01677451965141353,,1,False,0.5759334863370106,0.22373438620904873
4,1,time_labels,0.016629693892609355,1,88,0.016629693892609355,0.6520461716984806,0.42155936177129527,0.007355116997927135,1.0,1,False,0.6218283122379975,0.42155936177129527
5,2,Interaction,0.015315260839756206,1,88,0.015315260839756206,0.6005075778072397,0.4404617211685816,0.0067776990699504255,,1,False,0.6218283122379975,0.4404617211685816
6,0,label,0.016953600189007757,1,88,0.016953600189007757,0.19472170878483896,0.6600978110953366,0.0022078612530555017,,2,False,0.7558254400509227,0.6600978110953366
7,1,time_labels,0.011610908441694785,1,88,0.011610908441694785,0.8328328617104461,0.3639480605184845,0.009375282031216427,1.0,2,False,0.6218283122379975,0.3639480605184845
8,2,Interaction,0.028338045129054024,1,88,0.028338045129054024,2.0326450198641766,0.15749011252173808,0.022576755569223898,,2,False,0.5759334863370106,0.15749011252173808
9,0,label,0.004452573443441377,1,88,0.004452573443441377,0.19319609189854084,0.6613472600445574,0.002190600867863183,,3,False,0.7558254400509227,0.6613472600445574
10,1,time_labels,0.0035656278987166467,1,88,0.0035656278987166467,0.6454570037496966,0.42390638299565153,0.007281332011435102,1.0,3,False,0.6218283122379975,0.42390638299565153
11,2,Interaction,0.0024018669630567757,1,88,0.0024018669630567757,0.43479070094162087,0.5113694462275997,0.004916511900977354,,3,False,0.6818259283034663,0.5113694462275997
12,0,label,0.056433564539608405,1,88,0.056433564539608405,1.7769596730354689,0.1859639772851924,0.01979304801039257,,4,False,0.5759334863370106,0.1859639772851924
13,1,time_labels,0.033061977237406726,1,88,0.033061977237406726,4.0672336882309725,0.04677119296401622,0.04417677739730862,1.0,4,False,0.5612543155681946,0.04677119296401622
14,2,Interaction,0.010274153355823934,1,88,0.010274153355823934,1.2639105745792978,0.2639695145711298,0.014159256147794584,,4,False,0.5759334863370106,0.2639695145711298
15,0,label,0.0003237483615052049,1,88,0.0003237483615052049,0.007133018576679745,0.9328847726043942,8.105045957097702e-05,,5,False,0.9328847726043942,0.9328847726043942
16,1,time_labels,0.03130938301798461,1,88,0.03130938301798461,4.137797326318728,0.04494660079527612,0.04490879363725343,1.0,5,False,0.5612543155681946,0.04494660079527612
17,2,Interaction,0.014994260465163833,1,88,0.014994260465163833,1.981617166561312,0.1627428282170577,0.022022466687759357,,5,False,0.5759334863370106,0.1627428282170577
18,0,label,0.046295105668268735,1,88,0.046295105668268735,0.7541418130610601,0.3875302542081571,0.00849697600197043,,6,False,0.6218283122379975,0.3875302542081571
19,1,time_labels,0.031093073384235247,1,88,0.031093073384235247,2.4016910373330043,0.12479322386319737,0.026566881767080917,1.0,6,False,0.5759334863370106,0.12479322386319737
20,2,Interaction,0.004012037245511024,1,88,0.004012037245511024,0.30989776323866014,0.5791559132600441,0.003509207587008026,,6,False,0.7315653641179505,0.5791559132600441
21,0,label,0.0009856666888218148,1,88,0.0009856666888218148,0.00929359395688869,0.9234194899483757,0.00010559787014955465,,7,False,0.9328847726043942,0.9234194899483757
22,1,time_labels,0.052021184779140854,1,88,0.052021184779140854,1.8897049231364762,0.1727255953787327,0.02102248444081932,1.0,7,False,0.5759334863370106,0.1727255953787327
23,2,Interaction,0.03803512561657918,1,88,0.03803512561657918,1.3816518104098248,0.24299045382436546,0.015457890768683587,,7,False,0.5759334863370106,0.24299045382436546
