,index,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,metric,Significant,q_value,p_value
0,0,label,0.002055492896057276,1,88,0.002055492896057276,0.07367977512416372,0.7866882465794527,0.0008365697369780398,,0,False,0.8990722818050888,0.7866882465794527
1,1,time_labels,0.012588834348266072,1,88,0.012588834348266072,1.4530752975105152,0.2312665270721232,0.01624399488422009,1.0,0,False,0.42695358844084286,0.2312665270721232
2,2,Interaction,0.007078025085470063,1,88,0.007078025085470063,0.8169861579180202,0.36853056080376134,0.009198535024205907,,0,False,0.5202784387817807,0.36853056080376134
3,0,label,0.05909324147857857,1,88,0.05909324147857857,0.5125061076338927,0.47595137260207077,0.005790211238744836,,1,False,0.5711416471224849,0.47595137260207077
4,1,time_labels,0.016629693892609355,1,88,0.016629693892609355,0.6604710318183753,0.41858690413594746,0.007449441945569477,1.0,1,False,0.5287413525927758,0.41858690413594746
5,2,Interaction,0.04394368891319189,1,88,0.04394368891319189,1.7452836922813306,0.18989564317191784,0.01944707978488942,,1,False,0.41431776692054806,0.18989564317191784
6,0,label,0.18351650330111163,1,88,0.18351650330111163,2.154631521238153,0.1457057966420059,0.023899288199415204,,2,False,0.38854879104534906,0.1457057966420059
7,1,time_labels,0.011610908441694785,1,88,0.011610908441694785,0.8634647113441763,0.35531287968762604,0.009716757208926919,1.0,2,False,0.5202784387817807,0.35531287968762604
8,2,Interaction,0.07186112775258913,1,88,0.07186112775258913,5.344073484287961,0.023128325239455357,0.05725134210247956,,2,False,0.2994087386366134,0.023128325239455357
9,0,label,0.02937948176386023,1,88,0.02937948176386023,1.2906312841582661,0.2590160891478169,0.014454274380152655,,3,False,0.4440275813962575,0.2590160891478169
10,1,time_labels,0.0035656278987166467,1,88,0.0035656278987166467,0.6630621028131282,0.4176790553388732,0.007478448037856459,1.0,3,False,0.5287413525927758,0.4176790553388732
11,2,Interaction,0.015309173974972445,1,88,0.015309173974972445,2.8468851423982873,0.09509289586541508,0.031337179452393185,,3,False,0.3702263617343449,0.09509289586541508
12,0,label,0.050952126855562815,1,88,0.050952126855562815,1.6012216125487755,0.20907043775074402,0.017870533277690517,,4,False,0.41814087550148804,0.20907043775074402
13,1,time_labels,0.033061977237406726,1,88,0.033061977237406726,4.010120791073499,0.04830620689761594,0.04358347491119201,1.0,4,False,0.2994087386366134,0.04830620689761594
14,2,Interaction,8.614939134599098e-05,1,88,8.614939134599098e-05,0.010449147154575419,0.9188137734560595,0.00011872621098779207,,4,False,0.9543572910609476,0.9188137734560595
15,0,label,0.04693125170690668,1,88,0.04693125170690668,1.0462261199303944,0.30918149290245456,0.011749247166536879,,5,False,0.4946903886439273,0.30918149290245456
16,1,time_labels,0.03130938301798461,1,88,0.03130938301798461,4.210516953134069,0.043145856035008506,0.04566200355729555,1.0,5,False,0.2994087386366134,0.043145856035008506
17,2,Interaction,0.026494428554918237,1,88,0.026494428554918237,3.5629970903611703,0.06237682054929446,0.03891306754457743,,5,False,0.2994087386366134,0.06237682054929446
18,0,label,0.00020397843133359512,1,88,0.00020397843133359512,0.0032946743223035493,0.9543572910609476,3.743807927301241e-05,,6,False,0.9543572910609476,0.9543572910609476
19,1,time_labels,0.031093073384235247,1,88,0.031093073384235247,2.459068987220968,0.12043701506027327,0.027184327837470417,1.0,6,False,0.3702263617343449,0.12043701506027327
20,2,Interaction,0.03059500722391295,1,88,0.03059500722391295,2.4196782511140067,0.12340878724478163,0.026760527109973377,,6,False,0.3702263617343449,0.12340878724478163
21,0,label,0.003855102102257345,1,88,0.003855102102257345,0.03635993024565614,0.8492133348548522,0.00041301037746750783,,7,False,0.9264145471143842,0.8492133348548522
22,1,time_labels,0.052021184779140854,1,88,0.052021184779140854,1.9378158828296241,0.16741404660038992,0.021546174585273425,1.0,7,False,0.40179371184093576,0.16741404660038992
23,2,Interaction,0.09818024974742912,1,88,0.09818024974742912,3.657264788345127,0.05907813893210714,0.03990152659246902,,7,False,0.2994087386366134,0.05907813893210714
